segment_col,segment_value,n_chunks,label_col,js_divergence_vs_global
projeto,havana_iii,126,lda_topic_id,0.5610882809153894
projeto,compras_digitais,492,lda_topic_id,0.5577694986249064
projeto,jack_pearson,200,lda_topic_id,0.5401586230412079
projeto,anima,406,lda_topic_id,0.5398126390317317
projeto,rosacea,539,lda_topic_id,0.5381922353569036
projeto,gaia_ii,416,lda_topic_id,0.4824397234203244
publico,consumidoras,261,lda_topic_id,0.46614099627182193
projeto,mercato_brasil,516,lda_topic_id,0.41629028608015894
projeto,3cs_perfumes,485,lda_topic_id,0.36880851054632446
tipo_sessao,entrevista_em_profundidade,485,lda_topic_id,0.36880851054632446
projeto,bem_maes,101,lda_topic_id,0.347464062353694
publico,lideres,52,lda_topic_id,0.3324655803628523
projeto,radiosa,474,lda_topic_id,0.32469076542738873
publico,consultoras,445,lda_topic_id,0.30540013971716934
projeto,natura_3cs,985,lda_topic_id,0.274890497645833
marca_foco,natura,1234,lda_topic_id,0.16308976137552367
projeto,biome,236,lda_topic_id,0.1549999681233586
marca_foco,nao_inferido,3742,lda_topic_id,0.02114538395902894
publico,nao_inferido,4218,lda_topic_id,0.01592525342635573
tipo_sessao,nao_inferido,4491,lda_topic_id,0.00758892607172245
