solution,persona_id,persona_nome_auto,n_entrevistas,top_dimensoes_linguagem,vocabulario_caracteristico,como_essa_persona_fala,mensagem_que_tende_a_funcionar,alerta_de_linguagem
granular_k10,granular_k10_p01,comparadora de marcas + guiada por marca e confiança,34,"comparadora de marcas; guiada por marca e confiança; sensível a preço e valor; sensorial e prazer de uso; canal, loja e consultora; estética, presente e status","156, boticario, avon, perfumaria, vender, fusao, lider, 153, vende, pedido, perfume, avo, natura, 111, vendendo, pontos, kit, vendia","linguagem objetiva de valor, economia, vantagem e comparação de preço; linguagem sensorial, emocional, de prazer de uso, cheiro, textura e ritual; linguagem de confiança, tradição, segurança e credibilidade da marca; linguagem estética, presenteável, premium, bonita e aspiracional; linguagem de canal, atendimento, loja, consultora, revista, WhatsApp e compra","Explicite custo-benefício, promoção ou vantagem | Use linguagem sensorial e de experiência | Use prova social, indicação e confiança",
granular_k10,granular_k10_p03,social/familiar e influenciada por indicação + entusiasmada/encantada,20,"social/familiar e influenciada por indicação; entusiasmada/encantada; crítica/rejeição explícita; estética, presente e status; prática e orientada à rotina; canal, loja e consultora","mae, maes, filho, aniversario, dia maes, sogra, roupa, 67, dei, rede apoio, gosta, presente, presentear, namorado, gostar, dou, rosana, agradar","linguagem estética, presenteável, premium, bonita e aspiracional; linguagem de rotina, facilidade, tempo, praticidade e conveniência; linguagem de canal, atendimento, loja, consultora, revista, WhatsApp e compra; linguagem social, familiar, indicação, rede de confiança e recomendação; atenção a vocabulário de rejeição, fricção e dor","Use prova social, indicação e confiança",Revisar falas negativas/objeções
granular_k10,granular_k10_p05,"canal, loja e consultora + sensível a preço e valor",18,"canal, loja e consultora; sensível a preço e valor; prática e orientada à rotina; cética ou indecisa; entusiasmada/encantada; crítica/rejeição explícita","site, revista, frete, compro, vamos dizer, link, interativa, carrinho, manda, revista interativa, mercado livre, pagina, dizer, aplicativo, desconto, me manda, compra, comprei","linguagem objetiva de valor, economia, vantagem e comparação de preço; linguagem de rotina, facilidade, tempo, praticidade e conveniência; linguagem de canal, atendimento, loja, consultora, revista, WhatsApp e compra; atenção a vocabulário de rejeição, fricção e dor; atenção a linguagem de dúvida, indecisão, necessidade de explicação e prova","Explicite custo-benefício, promoção ou vantagem |  | Reduza incerteza com comparação, demonstração e explicação",Revisar falas negativas/objeções
granular_k10,granular_k10_p06,"estética, presente e status + crítica/rejeição explícita",18,"estética, presente e status; crítica/rejeição explícita; canal, loja e consultora; sensível a preço e valor; guiada por marca e confiança; comparadora de marcas","145, presente, 133, presentes, mae dela, consultoras, resolvia, consultora, tem enxergar, idade tinha, 29, nunca mudei, mudei casa, anos idade tinha, nunca mudei casa, caixa, so promocao, produto vazio","linguagem objetiva de valor, economia, vantagem e comparação de preço; linguagem de confiança, tradição, segurança e credibilidade da marca; linguagem estética, presenteável, premium, bonita e aspiracional; linguagem de canal, atendimento, loja, consultora, revista, WhatsApp e compra; atenção a vocabulário de rejeição, fricção e dor","Explicite custo-benefício, promoção ou vantagem |  | Use prova social, indicação e confiança",Revisar falas negativas/objeções
granular_k10,granular_k10_p04,curiosa por inovação e novidade + orientada a eficácia e resultado,14,curiosa por inovação e novidade; orientada a eficácia e resultado; cuidado pessoal e pele/corpo; prática e orientada à rotina; cética ou indecisa; consciente/natural/sustentável,"s6, 179, 158, 160, 157, s14, 138, s16, energia, 121, inovacao, 120, tecnologia, bioeficiente, t11, bio, 105, s5","linguagem de prova, resultado, benefício funcional e desempenho; linguagem consciente, natural, sustentável, ingredientes e impacto; linguagem de rotina, facilidade, tempo, praticidade e conveniência; linguagem de autocuidado, pele/corpo, cuidado pessoal e necessidade específica; linguagem de novidade, tecnologia, modernidade, curiosidade e experimentação","Mostre benefício concreto e fácil de entender |  | Traga ingredientes, naturalidade e impacto | Reduza incerteza com comparação, demonstração e explicação",Persona pode precisar de mais prova/clareza
granular_k10,granular_k10_p00,consciente/natural/sustentável + curiosa por inovação e novidade,12,"consciente/natural/sustentável; curiosa por inovação e novidade; cética ou indecisa; entusiasmada/encantada; estética, presente e status; prática e orientada à rotina","164, 205, 170, 146, refil, 129, formato, plastico, design, 98, lixo, atual, condicionador, 107, sustentavel, fosco, 172, 88","linguagem consciente, natural, sustentável, ingredientes e impacto; linguagem estética, presenteável, premium, bonita e aspiracional; linguagem de rotina, facilidade, tempo, praticidade e conveniência; linguagem de novidade, tecnologia, modernidade, curiosidade e experimentação; atenção a linguagem de dúvida, indecisão, necessidade de explicação e prova","Traga ingredientes, naturalidade e impacto | Reduza incerteza com comparação, demonstração e explicação",Persona pode precisar de mais prova/clareza
granular_k10,granular_k10_p02,consciente/natural/sustentável + cuidado pessoal e pele/corpo,12,consciente/natural/sustentável; cuidado pessoal e pele/corpo; curiosa por inovação e novidade; identidade e representatividade; cética ou indecisa; sensorial e prazer de uso,"pues, sea, yo, siento, entonces, creo, asi, piel, mi, producto, hace, va, tambien, ahorita, mejor, mucho, bueno, yo creo","linguagem sensorial, emocional, de prazer de uso, cheiro, textura e ritual; linguagem consciente, natural, sustentável, ingredientes e impacto; linguagem de autocuidado, pele/corpo, cuidado pessoal e necessidade específica; linguagem de identidade, representatividade, autoestima e inclusão; linguagem de novidade, tecnologia, modernidade, curiosidade e experimentação","Use linguagem sensorial e de experiência | Traga ingredientes, naturalidade e impacto | Reduza incerteza com comparação, demonstração e explicação",Persona pode precisar de mais prova/clareza
granular_k10,granular_k10_p07,consciente/natural/sustentável + cuidado pessoal e pele/corpo,10,consciente/natural/sustentável; cuidado pessoal e pele/corpo; orientada a eficácia e resultado; prática e orientada à rotina; curiosa por inovação e novidade; identidade e representatividade,"propaganda, br_0404_10h00_c1_2540anos_concorrencia, essa propaganda, amanha, 122, br_0404_16h30_ab1_2540anos_concorrencia, br_0504_16h30_ab1_1824anos_concorrencia, 115, luciana, amiga tempo, palavras, pergunta, br_0504_10h00_ab1_2540anos_concorrencia, essa pergunta, dessa propaganda, amazonia, faz bem, acido","linguagem de prova, resultado, benefício funcional e desempenho; linguagem consciente, natural, sustentável, ingredientes e impacto; linguagem de rotina, facilidade, tempo, praticidade e conveniência; linguagem de autocuidado, pele/corpo, cuidado pessoal e necessidade específica; linguagem de identidade, representatividade, autoestima e inclusão","Mostre benefício concreto e fácil de entender |  | Traga ingredientes, naturalidade e impacto",
granular_k10,granular_k10_p09,cética ou indecisa + consciente/natural/sustentável,9,cética ou indecisa; consciente/natural/sustentável; sensorial e prazer de uso; guiada por marca e confiança; comparadora de marcas; cuidado pessoal e pele/corpo,"quizas, mi, vos, me parece, tambien, bueno, bien, aca, 142, tiene, despues, poco, capaz, tenes, uno, mi me, crema, ahora","linguagem sensorial, emocional, de prazer de uso, cheiro, textura e ritual; linguagem consciente, natural, sustentável, ingredientes e impacto; linguagem de confiança, tradição, segurança e credibilidade da marca; linguagem de autocuidado, pele/corpo, cuidado pessoal e necessidade específica; atenção a linguagem de dúvida, indecisão, necessidade de explicação e prova","Use linguagem sensorial e de experiência | Traga ingredientes, naturalidade e impacto | Use prova social, indicação e confiança | Reduza incerteza com comparação, demonstração e explicação",Persona pode precisar de mais prova/clareza
granular_k10,granular_k10_p08,cuidado pessoal e pele/corpo + identidade e representatividade,8,cuidado pessoal e pele/corpo; identidade e representatividade; orientada a eficácia e resultado; entusiasmada/encantada; sensorial e prazer de uso; prática e orientada à rotina,"negra, pele negra, oleo, pele, 126, 117, 118, cotovelo, linha dia, nivea, joelho, ressecada, corpo, hidratante, negras, macadamia, hidratacao, pernas","linguagem de prova, resultado, benefício funcional e desempenho; linguagem sensorial, emocional, de prazer de uso, cheiro, textura e ritual; linguagem de rotina, facilidade, tempo, praticidade e conveniência; linguagem de autocuidado, pele/corpo, cuidado pessoal e necessidade específica; linguagem de identidade, representatividade, autoestima e inclusão",Mostre benefício concreto e fácil de entender | Use linguagem sensorial e de experiência,
