solution,k,persona_id,persona_nome_auto,n_entrevistas,share_entrevistas,top_dimensoes,top_termos,evidencias_curtas,top_projeto,projeto_top_share,top_pais,pais_top_share,top_marca_foco,marca_foco_top_share,top_publico,publico_top_share,top_tipo_sessao,tipo_sessao_top_share
granular_k10,10,granular_k10_p01,comparadora de marcas + guiada por marca e confiança,34,0.21935483870967742,"comparadora de marcas (lift 1.9x); guiada por marca e confiança (lift 1.8x); sensível a preço e valor (lift 1.6x); sensorial e prazer de uso (lift 1.6x); canal, loja e consultora (lift 1.5x); estética, presente e status (lift 1.2x); social/familiar e influenciada por indicação (lift 1.1x); crítica/rejeição explícita (lift 1.0x)","156, boticario, avon, perfumaria, vender, fusao, lider, 153, vende, pedido, perfume, avo, natura, 111, vendendo","É difícil. Você acha que o boticário ajuda muito a vender? O que a Natura faz que ajuda a vender? O que a Cacau Show faz que ajuda muito a vender? A boticário, em venda, se eu me dedicasse, eu venderia muito mais boticário. Porque ainda é discriminado a Natura. Acha que o boticário é melhor. Ainda tem uma discriminação. O cliente acha que o Boticário costuma ser melhor. Mas não é porque assim em relação a hidratantes os hidratantes da natura eles hidratam muito bem enquanto o da Boticário só é perfume só o cheiro não hidrata. O que mais que tem a ver com você? Como que eles caracterizam essa discriminação, essa... || Que antes tinha uma dificuldade até nossa de compreender o quanto que eu consigo explicar para o cara que aqui ele vai pagar mais caro e ele vai ter perfume melhor. Ele já entendeu isso não precisa explicar. Não é isso. A gente só tem que trazer só tem que começar a usar termos que eles entendam que assim é DP é DT concentração. Isso o consumidor o básico não vai usar a não ser que o cara seja alucinado por perfumes que nem eu já fui na vida e sabia de tudo isso. Mas o consumidor padrão não vai usar. Então tem uma revisão de nomenclatura nossa e de vocabulário nosso para conseguir fazer treinamento melhor para... || Interessante. Então você já faz entrega até com... Já tem uma pessoa que te apoia ali, pelo menos, pras entregas, quando não tá dentro do seu [ENDERECO]. É, na verdade, eu faço pelo Lalamu. Complicativo. Eu tenho cliente até no Morumbi, enfim, que não é só... Tudo cliente de pandemia, sabe? Sim. Foram compartilhando, e aí chegaram até mim. E quando... E essas, assim, às vezes nem é porque eu mandei nada, porque já sabe o produto quer, já a quantidade, já me manda mensagem, já quer tal, tal. E hoje você trabalha só com a Natura ou você já trabalha com outras marcas? Eu já cheguei a trabalhar com a Natura,...",natura_3cs: 15; 3cs_perfumes: 12; mercato_brasil: 7,0.4411764705882353,nao_inferido: 34,1.0,nao_inferido: 19; natura: 15,0.5588235294117647,nao_inferido: 18; consultoras: 14; lideres: 1,0.5294117647058824,nao_inferido: 22; entrevista_em_profundidade: 12,0.6470588235294118
granular_k10,10,granular_k10_p03,social/familiar e influenciada por indicação + entusiasmada/encantada,20,0.12903225806451613,"social/familiar e influenciada por indicação (lift 2.6x); entusiasmada/encantada (lift 1.5x); crítica/rejeição explícita (lift 1.4x); estética, presente e status (lift 1.4x); prática e orientada à rotina (lift 1.1x); canal, loja e consultora (lift 1.0x); sensível a preço e valor (lift 0.7x); sensorial e prazer de uso (lift 0.7x)","mae, maes, filho, aniversario, dia maes, sogra, roupa, 67, dei, rede apoio, gosta, presente, presentear, namorado, gostar","Tem marcas, mas marcas, assim, é voltada a pessoas específicas, por exemplo. Eu tenho amigos que eu sei que amam Calvin Klein, amam Kelvin e tudo mais. Se é pra dar pra amigo, eu sei que eu vou procurar mais nessas lojas. Se é pra dar pra minha mãe, eu sei que minha mãe ama bolsa, sapatos, aí eu vou procurar nessas outras lojas. Se eu estou passeando numa loja departamento, eu gosto muito de passar na Renner, que a Renner tem de tudo também. Lá eu sempre, quando eu quero dar presente para mais de uma pessoa, eu sempre, às vezes não, sempre encontro alguma coisa interessante. Dependendo se vier, assim, depende da... || Você falou que quando você vai dar perfume, você sempre escolhe, sei lá, o Boticário, uma vez se deu o Natura, enfim, mas independente do tipo de produto. Você acha que tem marca que é marca de presente, marca que não é marca de presente, assim, que você olha e fala, nossa, essa é uma marca legal pra dar de presente? Ou não, você olha todas assim, igual, vai ver na hora. Ou você já tem umas na cabeça, que você fala, nossa, eu vou comprar presente, eu sei que tem essa e essa, que são boas opções. Eu já tenho pouco assim na cabeça. Pra chegar uma loja nova e entrar, nossa, ela tem que ter alguma coisa me chamando... || E você falou das amigas, né? Conta pouquinho. Elas também são importantes? São, muito, né? Porque por mais que tenha a minha sogra e a minha mãe, elas também tem a vida dela, né? E a minha sogra tem outros filhos. Minhas mães são pequenas, né? Eu tenho punhado de nove anos. Então, né? Acaba demandando. E as minhas a gente tem a mesma fase de idade, de [IDADE] anos, então é tudo muito novo, é tudo muito que fofinho, vem cá, vamos ficar com a titia, vamos ali no parquinho com a titia, vamos passear, então é muito importante, acaba sendo importante para gente também, porque eu vejo muitas mães que ficam muito tempo...",natura_3cs: 16; 3cs_perfumes: 2; bem_maes: 2,0.8,nao_inferido: 20,1.0,natura: 16; nao_inferido: 4,0.8,consumidoras: 13; nao_inferido: 3; consultoras: 3,0.65,nao_inferido: 18; entrevista_em_profundidade: 2,0.9
granular_k10,10,granular_k10_p05,"canal, loja e consultora + sensível a preço e valor",18,0.11612903225806452,"canal, loja e consultora (lift 2.6x); sensível a preço e valor (lift 2.3x); prática e orientada à rotina (lift 1.6x); cética ou indecisa (lift 1.0x); entusiasmada/encantada (lift 0.8x); crítica/rejeição explícita (lift 0.8x); curiosa por inovação e novidade (lift 0.7x); identidade e representatividade (lift 0.6x)","site, revista, frete, compro, vamos dizer, link, interativa, carrinho, manda, revista interativa, mercado livre, pagina, dizer, aplicativo, desconto","Foi a... Tá, foi a consultora, então vou enviar... Tá, entendi, então não é do site, é da consultora. Se o link foi enviado pela consultora, enviar o pedido pelo WhatsApp é pela consultora. O que você acha disso? Tem alguma vantagem em enviar o pedido por WhatsApp ou algo que você faria por isso? Eu acho que é importante eu poder mandar para a consultora por WhatsApp, por alguma razão? Fica documentado, né? Depois ela não pode trazer uma coisa e falar que você pediu. Está documentado que eu enviei documento, pedi isso, aquilo, e ela não pode... Não é o meu caso, tá? Ela não pode falar, mas você não pediu isso,... || Então ela já tem na loja a maior parte e aí você compra em estoque, é isso? Isso. Aí quando ela não tem, ela só me passa a revista e eu compro. Tá, entendi. Quero falar então pouco, você falou também do Natura, né? Que é uma coisa que você compra e que dona Natura é sempre no virtual, é isso? Isso. E na loja dela, não compro também pelo marketplace. Uma vez eu também comprei pela Shopping, o perfume tinha outro cheiro, O que você quer dizer na loja da Natura? Você quer dizer isso? No caso da Natura, você tem revendedora ou não? Não. Eu sei que tem revista, mas eu sempre compro na loja virtual por conta do valor.... || Não, não tem mais nada não, acho que é só isso. Você sabe se a Natura tem revista interativa? Sei não. Essa que você recebe, você consegue mexendo nela? Porque você disse que marca num papel, né? Eu não sei não, se tem interativa. Porque eu gosto do negócio de comprar na pessoa. Às vezes é até mais barato em sítio. Eu não sei quem desconto, mas eu gosto. Às vezes é desconto tão invisório. E ela é tão simples, leva na minha casa. Às vezes faz pacote pra presente. Ela que leva na tua casa quando você encomenda? Às vezes sim, às vezes quando eu tô com tempo eu pego, geralmente é o porteiro que recebe. E aí ela faz...",compras_digitais: 16; 3cs_perfumes: 2,0.8888888888888888,nao_inferido: 18,1.0,nao_inferido: 18,1.0,nao_inferido: 18,1.0,nao_inferido: 16; entrevista_em_profundidade: 2,0.8888888888888888
granular_k10,10,granular_k10_p06,"estética, presente e status + crítica/rejeição explícita",18,0.11612903225806452,"estética, presente e status (lift 2.6x); crítica/rejeição explícita (lift 1.8x); canal, loja e consultora (lift 1.4x); sensível a preço e valor (lift 1.2x); guiada por marca e confiança (lift 1.1x); comparadora de marcas (lift 1.1x); identidade e representatividade (lift 1.0x); social/familiar e influenciada por indicação (lift 0.9x)","145, presente, 133, presentes, mae dela, consultoras, resolvia, consultora, tem enxergar, idade tinha, 29, nunca mudei, mudei casa, anos idade tinha, nunca mudei casa","E uma coisa que tu falou, Edmilson, que me chamou a atenção. Essa questão de beber muito da venda direta. Vão ser completamente de varejo. Me fala pouquinho mais disso. É que a gente abastece as nossas lojas, pensando em franquias, não lojas próprias, tá, Fernanda? Pelo mesmo composto promocional da venda direta. Então, o mesmo presente que vai para a consultora, na embalagem que foi produzida especificamente para a venda direta, ele também chega para nossas operações, tá? Além disso, eu tenho as caixas que eu disponibilizo para o franqueado através de fornecedor homologado. E aí eu começo a pegar o que este... || Não é uma loja para você entrar e comprar presente para alguém, é uma loja para você se presentear, você comprar para autoconsumo. A pessoa tá muito preparada para te dar as indicações e assim muito preparada mesmo tá para te dar o que você precisa. Eu senti até que em cada Sessão da loja, então tinha sessão de skin care, sessão de perfumaria, sessão de cabelo, maquiagem. Tinha até especialista próprio ali pra falar daquela categoria. Então a Ci foi comprar item de cabelo, tinha uma pessoa ali no cabelo dando uma consultoria pra ela. Eu tava olhando skin care, tinha uma pessoa ali do meu lado querendo, né, você... || Aí você tem o espaço da Dior tinha o espaço da foi da Dior tinha o espaço da Dior sensorial tudo com flores né Miss Dior tipo tudo com flores. Então os códigos mesmo. Do mercado, das marcas de luxo, as marcas mais populares, todas dentro de uma construção de códigos muito padrão, tipo flores e... Flores e corações, mais ou menos isso, né? Talvez mude a sofisticação desse código, mas o código tá lá. O código tá lá. É maximalista, digamos, né? Exatamente, exatamente. E aí a nossa experiência era para acontecer no Botileb do Morumbi e assim uma chuva de presentes de presente e habilidade assim dentro dos códigos é...",natura_3cs: 14; 3cs_perfumes: 2; mercato_brasil: 2,0.7777777777777778,nao_inferido: 18,1.0,natura: 14; nao_inferido: 4,0.7777777777777778,nao_inferido: 12; consultoras: 3; consumidoras: 3,0.6666666666666666,nao_inferido: 16; entrevista_em_profundidade: 2,0.8888888888888888
granular_k10,10,granular_k10_p04,curiosa por inovação e novidade + orientada a eficácia e resultado,14,0.09032258064516129,curiosa por inovação e novidade (lift 2.9x); orientada a eficácia e resultado (lift 2.5x); cuidado pessoal e pele/corpo (lift 2.2x); prática e orientada à rotina (lift 1.5x); cética ou indecisa (lift 1.4x); consciente/natural/sustentável (lift 1.2x); identidade e representatividade (lift 1.1x); entusiasmada/encantada (lift 1.0x),"s6, 179, 158, 160, 157, s14, 138, s16, energia, 121, inovacao, 120, tecnologia, bioeficiente, t11","Eu usaria de manhã e de noite, eu não usaria o dia todo, mas por essa questão de eu mexer com doces, eu não posso ter muito cheiro assim o tempo todo, então eu usaria de manhã e à noite. Mas tá associado com o banho, Gisele? Você usaria dentro do banho ou fora do banho? Então, eu usaria tanto dentro quanto fora, dependendo talvez da minha disposição ali, do meu tempo, né? Tenho tempo Eu gosto bastante de passar os hidratantes quando eu saio do banho, mas se eu tenho pouquinho mais de tempo para relaxar ali no banho, eu usaria no banho e depois... Eu sei que facilitaria já usando no banho e não ter que usar... || Por isso, nos especializamos em perfumaria e cuidados masculinos para possibilitar que cada homem se expresse e se cuide da sua maneira. Unindo ciência com natureza, desenvolvemos vasto portfólio de produtos. Na perfumaria temos fragrâncias surpreendentes com ampla diversidade olfativa para as mais diferentes ocasiões masculinidades. Em cuidados pessoais, uma linha completa para pele, barba e cabelo, com alta performance e resultados cientificamente comprovados. Então esse texto aqui a gente nem vê normalmente na vida real, é só para vocês saberem o que ela está propondo. Então é muito essa coisa de cuidado com... || Mas aqui também fica para uma coisa mais pele sensível, dermo leva para isso? É, dermo, por ser dermo, sempre vem na cabeça produtos para pele, e por ser tech, acho que esse tech veio na minha cabeça algo assim que seria para alguma pele com alguma condição específica, sabe? Algo que seria esse produto para essa condição específica da parte do corpo. Ótimo, muito bom. Chay? Para mim é mais ou menos isso que eles falaram, porém eu não acho que seja específico, acho que é mais geral também, mas que tem a ver com a pele mesmo, ou seja, a pele em si, ou loção para barba, ou para as mãos, ou para uma parte do corpo...",gaia_ii: 8; jack_pearson: 4; havana_iii: 2,0.5714285714285714,nao_inferido: 10; brasil: 4,0.7142857142857143,nao_inferido: 14,1.0,nao_inferido: 14,1.0,nao_inferido: 14,1.0
granular_k10,10,granular_k10_p00,consciente/natural/sustentável + curiosa por inovação e novidade,12,0.07741935483870968,"consciente/natural/sustentável (lift 3.8x); curiosa por inovação e novidade (lift 1.6x); cética ou indecisa (lift 1.4x); entusiasmada/encantada (lift 1.2x); estética, presente e status (lift 1.2x); prática e orientada à rotina (lift 1.1x); crítica/rejeição explícita (lift 1.0x); identidade e representatividade (lift 0.9x)","164, 205, 170, 146, refil, 129, formato, plastico, design, 98, lixo, atual, condicionador, 107, sustentavel","O formato, eu acho. Parece uma coisa bem chique. É, o refil. Amei o refil. O que mais, gente? Vocês acham que vai chamar a atenção? Muito. Essa mudança. As consumidoras vão se interessar? Vai ser uma coisa que vai chamar a atenção? Por quê? O que chama a atenção? Algo novo, né? Algo novo. Algo diferente. Moderno. Mas se pensar, o refeio consegue ficar assim? De pezinho, refeio? Sim, sim, consegue. E tal, pensa que aquele ali também tá em pezinho, né? O de plástico. Mas ele, o original, o que a gente não fica, o de hidratante, não fica em pé. Não, não, mas esse vai ficar. Esse vai ficar. Muito bom. Bom. Tá... || É muito diferente. Mudou o real. Mudou o real, não mudou o real. Sofisticou o real. É a outra cara. É que a gente, vendo assim a diferença, é uma coisa que você está na sua cabeça, não é? Outra cara. Que palavras vocês usariam para descrever a atual? Antiga. Antiga. Talvez clássica. Antiga, clássica, comum, legal. Mais alguma? E a nova? Sofisticado, moderno. Moderno. Atual. Muito bom, gente. Se fosse roupa, Sabe que a embalagem é a roupa da marca, né? Como é que natural é buscar uma vestida aqui na atual? Básico. É o quê? Tipo jeans? Sim, sim. Sim, sim. Jeans, uma camisinha. É isso? Jeans e camisinha? Muito bom.... || Então, uma coisa legal que a gente fez aqui no meu prédio, que a gente mudou mais ou menos há ano, foi a questão do descarte do lixo. Então, a gente sempre separou, intensificou a separação do lixo orgânico do lixo reciclável. Então, o que a gente fez? A gente contratou instituto, chama-se Instituto Muda. Esse instituto, ele vem, ele pega ali, a gente já separa madeira, plástico, papel e ele já doa para ONGs, para instituições que vão usar esse material e vai reverter também para o bem deles, uma ajuda financeira e tudo mais. Então, eu acho que nos últimos anos, as pessoas estão mais conscientes e a gente está...",anima: 8; biome: 4,0.6666666666666666,nao_inferido: 12,1.0,nao_inferido: 12,1.0,nao_inferido: 12,1.0,nao_inferido: 12,1.0
granular_k10,10,granular_k10_p02,consciente/natural/sustentável + cuidado pessoal e pele/corpo,12,0.07741935483870968,consciente/natural/sustentável (lift 2.3x); cuidado pessoal e pele/corpo (lift 1.4x); curiosa por inovação e novidade (lift 1.4x); identidade e representatividade (lift 1.3x); cética ou indecisa (lift 1.2x); sensorial e prazer de uso (lift 1.1x); orientada a eficácia e resultado (lift 1.0x); comparadora de marcas (lift 1.0x),"pues, sea, yo, siento, entonces, creo, asi, piel, mi, producto, hace, va, tambien, ahorita, mejor",,rosacea: 6; jack_pearson: 4; bem_maes: 2,0.5,mexico: 10; nao_inferido: 2,0.8333333333333334,nao_inferido: 9; concorrencia: 3,0.75,nao_inferido: 12,1.0,nao_inferido: 12,1.0
granular_k10,10,granular_k10_p07,consciente/natural/sustentável + cuidado pessoal e pele/corpo,10,0.06451612903225806,consciente/natural/sustentável (lift 3.1x); cuidado pessoal e pele/corpo (lift 2.0x); orientada a eficácia e resultado (lift 1.6x); prática e orientada à rotina (lift 1.5x); curiosa por inovação e novidade (lift 1.4x); identidade e representatividade (lift 1.3x); sensorial e prazer de uso (lift 1.2x); guiada por marca e confiança (lift 1.1x),"propaganda, br_0404_10h00_c1_2540anos_concorrencia, essa propaganda, amanha, 122, br_0404_16h30_ab1_2540anos_concorrencia, br_0504_16h30_ab1_1824anos_concorrencia, 115, luciana, amiga tempo, palavras, pergunta, br_0504_10h00_ab1_2540anos_concorrencia, essa pergunta, dessa propaganda","Como falei, essa propaganda me deu a sensação de que ela cuidasse realmente da gente e pensasse nos detalhes do nosso dia a dia. Mas nessa propaganda em específico, eu também gostei da paleta de cor. Para mim, as palavras que eu usaria são suavidade e calmaria. E realmente gostei de ter pensado justamente em épocas que trazem justamente essa questão de relaxamento. Rafaela, que palavras você usaria para essa? Acho que relaxante e suave. Letícia, que palavras? Eu acho que eu usaria hidratação e calmaria. Eu usaria noturno e bem-estar. Noturno e bem-estar. Eduarda? Eu usaria rotina e suave. Questão de noturno e... || Palavras, gente, que palavras que a gente pode usar aí para descrever essa propaganda? Pode ser clichê e colocar natureza? Pode, pode ser o que você quiser. Oi, Jenny. Natureza. Janaína? Me traz refrescância. Refrescância. Mariana? Eu também vou natureza. Natureza. Ana Paula? Eu ia colocar natureza, mas vou pensar alguma outra, pode passar para outra pessoa. Hidratação, rejuvenescimento. Lembrou de alguma, Ana? Então, antes se nós, já que falou na própria propaganda. Eu vou passar mais uma e a gente vai conversar sobre ela, tá bom? Todo mundo bem? E aí, quem quer comentar esse? Posso começar? Fala, Mari. É uma... || Bom, essa é uma base que eu quero muito comprar porque é duração de 24 horas e isso já me pega. Todo produto que tem algum tipo de prazo chama muita atenção, porque instiga o consumidor a testar. E em relação à tecnologia de oxigênio da pele, isso é exatamente muito importante pelo que a Caroline e a Gabriela falaram. De deixar a pele respirar. Normalmente, nós temos bases muito grossas, né? Essas bases mates que a gente usa são muito grossas, né? Então, parece que a gente tá com reboco no rosto todo santo dia. E, assim, vendo a imagem, eu tenho a impressão de ser uma base com uma textura bem fina e que se...",rosacea: 10,1.0,brasil: 10,1.0,nao_inferido: 6; natura: 4,0.6,nao_inferido: 10,1.0,nao_inferido: 10,1.0
granular_k10,10,granular_k10_p09,cética ou indecisa + consciente/natural/sustentável,9,0.05806451612903226,cética ou indecisa (lift 2.2x); consciente/natural/sustentável (lift 2.2x); sensorial e prazer de uso (lift 1.7x); guiada por marca e confiança (lift 1.2x); comparadora de marcas (lift 1.2x); cuidado pessoal e pele/corpo (lift 1.1x); identidade e representatividade (lift 0.9x); social/familiar e influenciada por indicação (lift 0.7x),"quizas, mi, vos, me parece, tambien, bueno, bien, aca, 142, tiene, despues, poco, capaz, tenes, uno",,rosacea: 7; bem_maes: 2,0.7777777777777778,argentina: 7; nao_inferido: 2,0.7777777777777778,nao_inferido: 6; natura: 3,0.6666666666666666,nao_inferido: 9,1.0,nao_inferido: 9,1.0
granular_k10,10,granular_k10_p08,cuidado pessoal e pele/corpo + identidade e representatividade,8,0.05161290322580645,cuidado pessoal e pele/corpo (lift 3.9x); identidade e representatividade (lift 3.6x); orientada a eficácia e resultado (lift 2.8x); entusiasmada/encantada (lift 2.1x); sensorial e prazer de uso (lift 1.6x); prática e orientada à rotina (lift 1.1x); social/familiar e influenciada por indicação (lift 1.0x); crítica/rejeição explícita (lift 0.9x),"negra, pele negra, oleo, pele, 126, 117, 118, cotovelo, linha dia, nivea, joelho, ressecada, corpo, hidratante, negras","Então a sensação é de bem-estar? Sim. Sim, de bem-estar e disso, de ver a pele uniforme mesmo. Cheila, você voltou, que bom! Estava falando do olhar e daí a gente já foi para outra história, menina, já vou pular aqui. A gente tá falando das partes do corpo, pele do corpo, assim, quais são, como é que é a relação com a pele do corpo, quais são as partes que mais gostam e por que gostam, quais são as partes que menos gostam e por que não gostam, como que é isso? Que eu mais gosto o meu rosto. As pessoas costumam falar, ai, você tem uma pele boa, que rosto, que bonita a sua pele, do seu rosto. Então, por conta... || Ela sabe. Meninas, me fala uma coisa, o que mais que tem de benefício em usar todo dia, nos produtos todo dia? Mais alguma coisa, Melissa, tem mais algum benefício, mais algum benefício? O todo dia ele é probiótico, ele se adapta bem à pele, a todo tipo de pele, é assim, mas eu procuro sempre Falar para o cliente. Eu dou dicas ao cliente. Quando o macadama é mesmo, o macadama é o nospecan. Se a pele for pouco mais ressecada, então é ele. Então, se você não tem uma pele muito ressecada, é o algodão, flor de lixa, mas mesmo a fragrância parece que assim, as fragrâncias mais suaves parece que eles para peles que... || Beleza! Quem mais você vai me falar? Eu quero que as outras me contem. Eu acho que essas coisas são as três coisas que eu mais procuro no meu corpo. Tá bom, Ju, obrigada. Agora a outra Ju quer falar também. Fala, Ju, quais são as suas principais preocupações e necessidades envolvendo o corpo, a pele do corpo? Sim, eu gosto de usar por conta da hidratação, né? E do cheiro. Eu acho que o perfume conta muito, né? O hidratante que eu uso mesmo, ele é muito cheiroso. Pode falar nome e marca, tá, gente? Pra eu saber também. É o da Paixão. Na paixão, pelo cheiro. E em termos de hidratação, o que é importante em termos...",radiosa: 8,1.0,nao_inferido: 8,1.0,nao_inferido: 8,1.0,nao_inferido: 8,1.0,nao_inferido: 8,1.0
