projeto,media,mediana,n
mercato_brasil,0.37547687331723506,0.0,516
3cs_perfumes,0.3827124964008563,0.0,485
bem_maes,0.6197818749987948,0.0,101
havana_iii,0.705235262477246,0.0,126
natura_3cs,0.8997425568230152,0.0,985
biome,0.929898193604931,0.0,236
rosacea,0.972072278898031,0.7633587786259541,539
jack_pearson,1.0050515460153318,0.9523809523809524,200
compras_digitais,1.0256761705443913,0.0,492
gaia_ii,1.0761577979577774,0.9803921568627451,416
anima,1.4285111977559717,1.098901098901099,406
radiosa,1.5468213254175476,1.0638297872340425,474
